상호,건물,카테고리,주소,네이버검색(클릭),전화번호(여기채우기)
미쓰달,송파테라타워2,김밥/만두/분식,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%AF%B8%EC%93%B0%EB%8B%AC,
백반/한정식,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%B0%B1%EB%B0%98%2F%ED%95%9C%EC%A0%95%EC%8B%9D,
사운드랩,송파테라타워2,피자,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%82%AC%EC%9A%B4%EB%93%9C%EB%9E%A9,
선푸드앤디자인,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%84%A0%ED%91%B8%EB%93%9C%EC%95%A4%EB%94%94%EC%9E%90%EC%9D%B8,
세라젬웰카페,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%84%B8%EB%9D%BC%EC%A0%AC%EC%9B%B0%EC%B9%B4%ED%8E%98,
소량향,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%86%8C%EB%9F%89%ED%96%A5,
송파다이닝,송파테라타워2,경양식,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%86%A1%ED%8C%8C%EB%8B%A4%EC%9D%B4%EB%8B%9D,
신세계푸드노브랜드버거문정역점,송파테라타워2,버거,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%8B%A0%EC%84%B8%EA%B3%84%ED%91%B8%EB%93%9C%EB%85%B8%EB%B8%8C%EB%9E%9C%EB%93%9C%EB%B2%84%EA%B1%B0%EB%AC%B8%EC%A0%95%EC%97%AD%EC%A0%90,
우마미,송파테라타워2,일식 회/초밥,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9A%B0%EB%A7%88%EB%AF%B8,
전주콩뿌리콩나물국밥,송파테라타워2,국/탕/찌개류,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%A0%84%EC%A3%BC%EC%BD%A9%EB%BF%8C%EB%A6%AC%EC%BD%A9%EB%82%98%EB%AC%BC%EA%B5%AD%EB%B0%A5,
춘리마라탕,송파테라타워2,마라탕/훠궈,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%B6%98%EB%A6%AC%EB%A7%88%EB%9D%BC%ED%83%95,
카츠단길,송파테라타워2,일식 회/초밥,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%B9%B4%EC%B8%A0%EB%8B%A8%EA%B8%B8,
프로도버거,송파테라타워2,버거,서울특별시 송파구 송파대로 201,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%94%84%EB%A1%9C%EB%8F%84%EB%B2%84%EA%B1%B0,
경양식하우스,엠스테이트,경양식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EA%B2%BD%EC%96%91%EC%8B%9D%ED%95%98%EC%9A%B0%EC%8A%A4,
고씨네,엠스테이트,김밥/만두/분식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EA%B3%A0%EC%94%A8%EB%84%A4,
그레이바틀,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EA%B7%B8%EB%A0%88%EC%9D%B4%EB%B0%94%ED%8B%80,
