name,area,floor,ho,category,phone,address,dist_m,solo_status,solo_note,walk_min,price_min,price_max,wait_1200,wait_1230,order_type,self_bar,noise_level,staff_talk,signature
혜영식당,문정역,,전화확인,일식집,0507-1309-0297,서울 송파구 송파대로20길 4,83,,,,,,,,,,,,
밍차이 문정점,문정역,1층,전화확인,중국요리,02-400-5758,서울 송파구 송파대로20길 10,112,,,,,,,,,,,,
문정갈매기,문정역,1층,전화확인,한식,02-402-8892,서울 송파구 동남로2길 33,113,,,,,,,,,,,,
몽중헌 문정점,문정역,,전화확인,중국요리,02-406-8777,서울 송파구 새말로5길 31,124,,,,,,,,,,,,
정성면옥 본점,문정역,,전화확인,냉면,02-400-5242,서울 송파구 문정로 9,124,,,,,,,,,,,,
춘리마라탕 문정점,송파테라타워2,1층,전화확인,중국요리,,서울 송파구 송파대로 201,13,,,,,,,,,,,,
명랑핫도그 문정점,송파테라타워2,,전화확인,명랑핫도그,02-881-5041,서울 송파구 송파대로 201,18,,,,,,,,,,,,
교동짬뽕,송파테라타워2,,전화확인,중국요리,02-881-5972,서울 송파구 송파대로 201,24,,,,,,,,,,,,
쿠치나디까사 문정점,송파테라타워2,1층,전화확인,이탈리안,02-881-5564,서울 송파구 송파대로 201,29,,,,,,,,,,,,
미분당 문정점,송파테라타워2,,전화확인,미분당,02-881-5335,서울 송파구 송파대로 201,30,,,,,,,,,,,,
오토김밥 문정점,송파테라타워2,,전화확인,분식,02-881-5565,서울 송파구 송파대로 201,36,,,,,,,,,,,,
북해도,송파테라타워2,1층,전화확인,참치회,02-527-8322,서울 송파구 법원로 128,44,,,,,,,,,,,,
우마미,송파테라타워2,1층,전화확인,일식,,서울 송파구 송파대로 201,48,,,,,,,,,,,,
강남면옥 송파점,송파테라타워2,,전화확인,냉면,02-400-6599,서울 송파구 법원로 128,57,,,,,,,,,,,,
차이킹 문정점,송파테라타워2,2층,전화확인,중국요리,02-527-0800,서울 송파구 법원로 128,64,,,,,,,,,,,,
담소소사골순대육개장 문정점,송파테라타워2,,전화확인,담소소사골순대육개장,02-2084-3821,서울 송파구 법원로 127,80,,,,,,,,,,,,
파파호,송파테라타워2,1층,전화확인,태국음식,02-2084-3888,서울 송파구 법원로 127,94,,,,,,,,,,,,
뼈우림 감자탕 문정본점,송파테라타워2,,전화확인,감자탕,,서울 송파구 법원로 127,108,,,,,,,,,,,,
더퍼스트클래스파티 송파문정점,송파테라타워2,1층,전화확인,뷔페,02-2084-3080,서울 송파구 법원로 127,108,,,,,,,,,,,,
또바라기돼지국밥,엠스테이트,,전화확인,국밥,02-2283-1117,서울 송파구 법원로 114,25,,,,,,,,,,,,
우사기소바,엠스테이트,,전화확인,"돈까스,우동",0502-5552-0915,서울 송파구 법원로 114,26,,,,,,,,,,,,
한창회관,엠스테이트,1층,전화확인,한식,,서울 송파구 법원로 114,27,,,,,,,,,,,,
밀숲 문정점,엠스테이트,1층,전화확인,칼국수,,서울 송파구 법원로 114,28,,,,,,,,,,,,
킹콩부대찌개 송파법조타운점,엠스테이트,,전화확인,킹콩부대찌개,02-6177-9279,서울 송파구 법원로 114,31,,,,,,,,,,,,
옥된장 문정법조타운점,엠스테이트,,전화확인,옥된장,02-511-4060,서울 송파구 법원로 114,33,,,,,,,,,,,,
마케집 문정점,엠스테이트,,전화확인,마케집,,서울 송파구 법원로 114,33,,,,,,,,,,,,
담솥 문정점,엠스테이트,1층,전화확인,한식,,서울 송파구 법원로 114,34,,,,,,,,,,,,
서가참치&스시,엠스테이트,1층,전화확인,참치회,02-2283-1180,서울 송파구 법원로 114,47,,,,,,,,,,,,
불하당,엠스테이트,1층,전화확인,국밥,02-2283-1556,서울 송파구 법원로 114,48,,,,,,,,,,,,
상아김밥 문정직영점,엠스테이트,1층,전화확인,분식,02-404-0116,서울 송파구 법원로11길 7,52,,,,,,,,,,,,
원 순천집,엠스테이트,,전화확인,한식,02-2283-1179,서울 송파구 법원로 114,54,,,,,,,,,,,,
소공동순두부,엠스테이트,,전화확인,두부전문점,02-2283-1323,서울 송파구 법원로 114,57,,,,,,,,,,,,
함흥본가면옥 문정점,엠스테이트,,전화확인,냉면,02-407-8807,서울 송파구 법원로 114,58,,,,,,,,,,,,
원해장,엠스테이트,1층,전화확인,해장국,,서울 송파구 법원로 114,60,,,,,,,,,,,,
보배반점 문정점,엠스테이트,,전화확인,보배반점,02-400-9866,서울 송파구 법원로 114,61,,,,,,,,,,,,
육대장 문정역엠스테이트점,엠스테이트,1층,전화확인,육대장,,서울 송파구 법원로 114,68,,,,,,,,,,,,
써브웨이 문정역점,엠스테이트,,전화확인,써브웨이,02-3012-1259,서울 송파구 법원로 114,78,,,,,,,,,,,,
강창구찹쌀진순대 문정역점,엠스테이트,,전화확인,순대,02-2283-1777,서울 송파구 법원로 114,102,,,,,,,,,,,,
하루엔소쿠 문정법조타운점,엠스테이트,,전화확인,"돈까스,우동",02-2283-1339,서울 송파구 법원로 114,106,,,,,,,,,,,,
순대감찹쌀순대,엠스테이트,,전화확인,순대,02-2054-8581,서울 송파구 법원로 114,106,,,,,,,,,,,,
불독돈까스,엠스테이트,1층,전화확인,"돈까스,우동",02-2283-1599,서울 송파구 법원로 114,112,,,,,,,,,,,,
이삭토스트 문정역점,테라타워,1층,전화확인,이삭토스트,02-2054-3634,서울 송파구 송파대로 167,14,,,,,,,,,,,,
청년38국수 문정테라타워점,테라타워,,전화확인,국수,0507-1398-1584,서울 송파구 송파대로 167,18,,,,,,,,,,,,
에그드랍 문정역점,테라타워,1층,전화확인,에그드랍,02-2054-8262,서울 송파구 송파대로 167,24,,,,,,,,,,,,
무국적식당 주철,테라타워,1층,전화확인,양식,0502-5553-4501,서울 송파구 송파대로 167,31,,,,,,,,,,,,
계란집,테라타워,지하,전화확인,양식,,서울 송파구 송파대로 167,37,,,,,,,,,,,,
앤썹스,테라타워,,전화확인,패스트푸드,02-2054-8515,서울 송파구 송파대로 167,40,,,,,,,,,,,,
본죽&비빔밥cafe 문정법조단지점,테라타워,,전화확인,본죽&비빔밥cafe,02-2054-8282,서울 송파구 송파대로 167,42,,,,,,,,,,,,
고메무이,테라타워,지하,전화확인,일식,02-443-7779,서울 송파구 송파대로 167,50,,,,,,,,,,,,
한양중식 문정점,테라타워,,전화확인,중국요리,,서울 송파구 송파대로 167,52,,,,,,,,,,,,
통영항수산민족 문정점,테라타워,1층,전화확인,"해물,생선",02-2054-3892,서울 송파구 송파대로 167,56,,,,,,,,,,,,
한성칼국수,테라타워,지하,전화확인,칼국수,02-2054-8666,서울 송파구 송파대로 167,56,,,,,,,,,,,,
국제보리밥,테라타워,1층,전화확인,한식,,서울 송파구 송파대로 167,56,,,,,,,,,,,,
산척동수제비 문정3호점,테라타워,,전화확인,수제비,02-2054-3305,서울 송파구 송파대로 167,56,,,,,,,,,,,,
밥샵,테라타워,,전화확인,한식,02-2054-8934,서울 송파구 송파대로 167,56,,,,,,,,,,,,
덮밥장사장 문정점,테라타워,1층,전화확인,덮밥장사장,02-2054-3373,서울 송파구 송파대로 167,56,,,,,,,,,,,,
하늘한정식뷔페,테라타워,,전화확인,한식뷔페,,서울 송파구 송파대로 167,56,,,,,,,,,,,,
오부찌,테라타워,1층,전화확인,"찌개,전골",02-2054-8597,서울 송파구 송파대로 167,56,,,,,,,,,,,,
얌샐러드,테라타워,,전화확인,샐러드,010-5557-4773,서울 송파구 송파대로 167,56,,,,,,,,,,,,
풀리어트,테라타워,1층,전화확인,샐러드,0508-8192-7412,서울 송파구 송파대로 167,56,,,,,,,,,,,,
돈앤더머,테라타워,,전화확인,"돈까스,우동",070-440-0543,서울 송파구 송파대로 167,56,,,,,,,,,,,,
미르네 나주가,테라타워,1층,전화확인,한식,02-409-9194,서울 송파구 송파대로 167,56,,,,,,,,,,,,
한우스지맑은곰탕,테라타워,2층,전화확인,곰탕,02-401-1481,서울 송파구 송파대로 167,56,,,,,,,,,,,,
소호면가 문정점,테라타워,1층,전화확인,칼국수,,서울 송파구 송파대로 167,56,,,,,,,,,,,,
깡우동 문정역점,테라타워,1층,전화확인,깡우동,,서울 송파구 송파대로 167,56,,,,,,,,,,,,
풍년감자탕 문정점,테라타워,,전화확인,감자탕,,서울 송파구 송파대로 167,56,,,,,,,,,,,,
스시현,테라타워,1층,전화확인,"초밥,롤",02-2054-3317,서울 송파구 송파대로 167,56,,,,,,,,,,,,
올라포케 문정본점,테라타워,지하,전화확인,올라포케,02-2054-8530,서울 송파구 송파대로 167,56,,,,,,,,,,,,
소소반167,테라타워,,전화확인,한식,02-2054-3833,서울 송파구 송파대로 167,56,,,,,,,,,,,,
테라한식뷔페,테라타워,1층,전화확인,한식뷔페,02-2054-3645,서울 송파구 송파대로 167,56,,,,,,,,,,,,
남산수재돈까스,테라타워,,전화확인,"돈까스,우동",02-2054-3750,서울 송파구 송파대로 167,56,,,,,,,,,,,,
담원,테라타워,,전화확인,한식,02-2054-8599,서울 송파구 송파대로 167,56,,,,,,,,,,,,
잇쇼니라멘 문정본점,테라타워,,전화확인,일본식라면,02-2283-1239,서울 송파구 법원로 114,57,,,,,,,,,,,,
KFC 문정역점,테라타워,,전화확인,KFC,02-408-0509,서울 송파구 송파대로 167,57,,,,,,,,,,,,
압구정샌드위치 문정점,테라타워,1층,전화확인,압구정샌드위치,,서울 송파구 송파대로 167,57,,,,,,,,,,,,
미식호랑이,테라타워,,전화확인,일본식라면,02-2283-1709,서울 송파구 법원로 114,59,,,,,,,,,,,,
아레나샤브 테라타워점,테라타워,,전화확인,샤브샤브,02-430-1304,서울 송파구 송파대로 167,61,,,,,,,,,,,,
산꼼장어 닭발쭈꾸미 문정역점,테라타워,,전화확인,"해물,생선",02-6177-9294,서울 송파구 법원로 114,62,,,,,,,,,,,,
월미당 문정점,테라타워,,전화확인,베트남음식,02-2054-3999,서울 송파구 송파대로 167,63,,,,,,,,,,,,
포온스수제버거,테라타워,,전화확인,햄버거,02-2054-8295,서울 송파구 송파대로 167,63,,,,,,,,,,,,
이풀리 문정역점,테라타워,1층,전화확인,한식,0503-7151-4297,서울 송파구 송파대로 167,65,,,,,,,,,,,,
맘스터치 문정역점,테라타워,1층,전화확인,맘스터치,02-448-1318,서울 송파구 송파대로 167,65,,,,,,,,,,,,
마라공방 문정점,테라타워,,전화확인,중국요리,02-2054-8685,서울 송파구 송파대로 167,65,,,,,,,,,,,,
신기소 문정역점,테라타워,,전화확인,신기소,02-2054-3991,서울 송파구 송파대로 167,65,,,,,,,,,,,,
제주은희네해장국 문정테라타워점,테라타워,,전화확인,제주은희네해장국,02-2054-3331,서울 송파구 송파대로 167,66,,,,,,,,,,,,
양산도 문정점,테라타워,1층,전화확인,일식,02-2054-8692,서울 송파구 송파대로 167,67,,,,,,,,,,,,
광명횟집,테라타워,1층,전화확인,회,02-2054-8648,서울 송파구 송파대로 167,68,,,,,,,,,,,,
더부엌 문정역테라타워점,테라타워,,전화확인,양식,02-2054-8686,서울 송파구 송파대로 167,71,,,,,,,,,,,,
구십이,테라타워,2층,전화확인,"해물,생선",02-2054-8292,서울 송파구 송파대로 167,75,,,,,,,,,,,,
부산아지매국밥 문정테라타워점,테라타워,,전화확인,국밥,02-2054-8933,서울 송파구 송파대로 167,76,,,,,,,,,,,,
큰집닭강정 문정점,테라타워,1층,전화확인,닭강정,02-2283-1555,서울 송파구 법원로 114,92,,,,,,,,,,,,
야키니쿠 히오리,테라타워,1층,전화확인,일식,010-3350-2836,서울 송파구 송파대로 167,92,,,,,,,,,,,,
라스트춘선 문정점,테라타워,,전화확인,한식,0503-7151-3689,서울 송파구 법원로 114,95,,,,,,,,,,,,
아토키토 송파문정점,현대지식산업센터,1층,전화확인,샐러드,,서울 송파구 법원로11길 7,27,,,,,,,,,,,,
샐러딧 문정본점,현대지식산업센터,,전화확인,샐러드,,서울 송파구 법원로11길 7,29,,,,,,,,,,,,
마낀카오,현대지식산업센터,2층,전화확인,아시아음식,,서울 송파구 법원로11길 7,29,,,,,,,,,,,,
유혜인김밥 법조타운본점,현대지식산업센터,,전화확인,분식,,서울 송파구 법원로11길 7,30,,,,,,,,,,,,
바른참치,현대지식산업센터,,전화확인,참치회,,서울 송파구 법원로11길 7,35,,,,,,,,,,,,
탕화쿵푸마라탕 문정동점,현대지식산업센터,2층,전화확인,탕화쿵푸마라탕,02-2008-1883,서울 송파구 법원로11길 7,37,,,,,,,,,,,,
금정,현대지식산업센터,지하,전화확인,중국요리,02-2008-1586,서울 송파구 법원로11길 7,37,,,,,,,,,,,,
가쯔미 본점,현대지식산업센터,2층,전화확인,"돈까스,우동",,서울 송파구 법원로11길 7,38,,,,,,,,,,,,
식물원김밥 문정점,현대지식산업센터,1층,전화확인,분식,,서울 송파구 법원로11길 7,43,,,,,,,,,,,,
해룡마을국수집 송파문정점,현대지식산업센터,,전화확인,국수,02-6012-4549,서울 송파구 법원로11길 7,43,,,,,,,,,,,,
문정쭈칼집,현대지식산업센터,2층,전화확인,"해물,생선",,서울 송파구 법원로11길 7,43,,,,,,,,,,,,
동양솥밥 문정역점,현대지식산업센터,,전화확인,한식,02-6672-7778,서울 송파구 법원로11길 7,43,,,,,,,,,,,,
부산밀면,현대지식산업센터,1층,전화확인,국수,02-3400-0315,서울 송파구 법원로11길 7,43,,,,,,,,,,,,
비비당 문정역점,현대지식산업센터,2층,전화확인,한식,0507-1382-1494,서울 송파구 법원로11길 7,43,,,,,,,,,,,,
아야진동태탕,현대지식산업센터,1층,전화확인,"해물,생선",02-2008-1234,서울 송파구 법원로11길 7,49,,,,,,,,,,,,
황해도아바이순대,현대지식산업센터,2층,전화확인,순대,02-2008-1226,서울 송파구 법원로11길 7,49,,,,,,,,,,,,
오봉집 문정점,현대지식산업센터,,전화확인,오봉집,02-3400-0310,서울 송파구 법원로11길 7,52,,,,,,,,,,,,
고향옥얼큰순대국 문정역점,현대지식산업센터,1층,전화확인,국밥,02-3400-0330,서울 송파구 법원로11길 7,57,,,,,,,,,,,,
란짠타부리,현대지식산업센터,,전화확인,태국음식,02-6326-3040,서울 송파구 법원로11길 11,60,,,,,,,,,,,,
퀴즈노스 문정법조타운점,현대지식산업센터,,전화확인,퀴즈노스,02-3400-0123,서울 송파구 법원로11길 11,62,,,,,,,,,,,,
부리나케,현대지식산업센터,1층,전화확인,"돈까스,우동",070-8888-3545,서울 송파구 법원로11길 11,64,,,,,,,,,,,,
덴테,현대지식산업센터,1층,전화확인,이탈리안,02-3400-0230,서울 송파구 법원로11길 11,64,,,,,,,,,,,,
양이야기,현대지식산업센터,1층,전화확인,중식,,서울 송파구 법원로11길 11,64,,,,,,,,,,,,
길동우동 문정법조타운점,현대지식산업센터,,전화확인,"돈까스,우동",02-2084-3777,서울 송파구 법원로 127,111,,,,,,,,,,,,
스시문정,SKV1/GL메트로시티,1층,전화확인,"초밥,롤",02-2039-2459,서울 송파구 법원로 128,6,,,,,,,,,,,,
더돈부리,SKV1/GL메트로시티,1층,전화확인,일식,,서울 송파구 법원로 128,6,,,,,,,,,,,,
블리스버거 문정점,SKV1/GL메트로시티,1층,전화확인,햄버거,02-527-0395,서울 송파구 법원로 128,7,,,,,,,,,,,,
김가네 문정메트로시티점,SKV1/GL메트로시티,,전화확인,김가네,02-560-4999,서울 송파구 법원로 128,7,,,,,,,,,,,,
