상호	건물	카테고리	전화번호	주소	호수(전화로확인)	혼밥가능(green=1인석있음/yellow=혼자눈치/red=1인거절)	도보(분)	최저가(원)	최고가(원)	12시웨이팅(0없음/5=5~10분/15=15분↑)	12시반웨이팅(0/5/15)	주문방식(kiosk/table_tablet/staff_call)	셀프바(true/false)	소음(1조용~2보통~3시끌)	직원말수(1무관심~2보통~3많음)	대표메뉴	메모
혜영식당	문정역	일식집	0507-1309-0297	서울 송파구 송파대로20길 4													
밍차이 문정점	문정역	중국요리	02-400-5758	서울 송파구 송파대로20길 10													
문정갈매기	문정역	한식	02-402-8892	서울 송파구 동남로2길 33													
몽중헌 문정점	문정역	중국요리	02-406-8777	서울 송파구 새말로5길 31													
정성면옥 본점	문정역	냉면	02-400-5242	서울 송파구 문정로 9													
명랑핫도그 문정점	송파테라타워2	명랑핫도그	02-881-5041	서울 송파구 송파대로 201													
교동짬뽕	송파테라타워2	중국요리	02-881-5972	서울 송파구 송파대로 201													
쿠치나디까사 문정점	송파테라타워2	이탈리안	02-881-5564	서울 송파구 송파대로 201													
미분당 문정점	송파테라타워2	미분당	02-881-5335	서울 송파구 송파대로 201													
오토김밥 문정점	송파테라타워2	분식	02-881-5565	서울 송파구 송파대로 201													
북해도	송파테라타워2	참치회	02-527-8322	서울 송파구 법원로 128													
강남면옥 송파점	송파테라타워2	냉면	02-400-6599	서울 송파구 법원로 128													
차이킹 문정점	송파테라타워2	중국요리	02-527-0800	서울 송파구 법원로 128													
담소소사골순대육개장 문정점	송파테라타워2	담소소사골순대육개장	02-2084-3821	서울 송파구 법원로 127													
파파호	송파테라타워2	태국음식	02-2084-3888	서울 송파구 법원로 127													
더퍼스트클래스파티 송파문정점	송파테라타워2	뷔페	02-2084-3080	서울 송파구 법원로 127													
또바라기돼지국밥	엠스테이트	국밥	02-2283-1117	서울 송파구 법원로 114													
우사기소바	엠스테이트	"돈까스,우동"	0502-5552-0915	서울 송파구 법원로 114													
킹콩부대찌개 송파법조타운점	엠스테이트	킹콩부대찌개	02-6177-9279	서울 송파구 법원로 114													
옥된장 문정법조타운점	엠스테이트	옥된장	02-511-4060	서울 송파구 법원로 114													
서가참치&스시	엠스테이트	참치회	02-2283-1180	서울 송파구 법원로 114													
불하당	엠스테이트	국밥	02-2283-1556	서울 송파구 법원로 114													
상아김밥 문정직영점	엠스테이트	분식	02-404-0116	서울 송파구 법원로11길 7													
원 순천집	엠스테이트	한식	02-2283-1179	서울 송파구 법원로 114													
소공동순두부	엠스테이트	두부전문점	02-2283-1323	서울 송파구 법원로 114													
