상호,건물,카테고리,주소,전화번호,호수(전화로확인),혼밥가능(green=1인석있음/yellow=혼자눈치/red=1인거절),도보(분),최저가(원),최고가(원),12시웨이팅(0없음/5=5~10분/15=15분↑),12시반웨이팅(0/5/15),주문방식(kiosk/table_tablet/staff_call),셀프바(true/false),소음(1조용~2보통~3시끌),직원말수(1무관심~2보통~3많음),대표메뉴,메모
교동짬뽕,송파테라타워2,중국집,서울특별시 송파구 송파대로 201,02-881-5972,,,,,,,,,,,,,
늘솜한식,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,02-881-5196,,,,,,,,,,,,,
말자복자,송파테라타워2,김밥/만두/분식,서울특별시 송파구 송파대로 201,02-881-5050,,,,,,,,,,,,,
미분당,송파테라타워2,베트남식 전문,서울특별시 송파구 송파대로 201,02-881-5335,,,,,,,,,,,,,
밥상,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,02-881-5656,,,,,,,,,,,,,
부대찌개,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,0503-7151-9736,,,,,,,,,,,,,
선비칼국수송파문정역점,송파테라타워2,국수/칼국수,서울특별시 송파구 송파대로 201,02-430-3777,,,,,,,,,,,,,
소소화로,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,070-8833-1685,,,,,,,,,,,,,
송가네용두암두루치기,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,02-881-5657,,,,,,,,,,,,,
야콧,송파테라타워2,경양식,서울특별시 송파구 송파대로 201,010-8549-8831,,,,,,,,,,,,,
오토김밥문정,송파테라타워2,김밥/만두/분식,서울특별시 송파구 송파대로 201,02-881-5565,,,,,,,,,,,,,
우미스시,송파테라타워2,일식 회/초밥,서울특별시 송파구 송파대로 201,02-400-6907,,,,,,,,,,,,,
은혜손칼국수칡냉면,송파테라타워2,국수/칼국수,서울특별시 송파구 송파대로 201,02-881-5359,,,,,,,,,,,,,
일루퓨전한식,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,010-5000-1084,,,,,,,,,,,,,
정온,송파테라타워2,경양식,서울특별시 송파구 송파대로 201,010-7907-3254,,,,,,,,,,,,,
쿠치나디까사,송파테라타워2,베트남식 전문,서울특별시 송파구 송파대로 201,02-881-5564,,,,,,,,,,,,,
강찜찌,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,02-2283-1288,,,,,,,,,,,,,
강창구찹쌀진순대문정역점,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,02-2283-1777,,,,,,,,,,,,,
광나루또바기,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,02-2283-1486,,,,,,,,,,,,,
구김살,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,0507-1412-9288,,,,,,,,,,,,,
길목,엠스테이트,중국집,서울특별시 송파구 법원로 114,070-7673-9510,,,,,,,,,,,,,
김밥천국,엠스테이트,김밥/만두/분식,서울특별시 송파구 법원로 114,02-2283-1255,,,,,,,,,,,,,
끼니공방문정,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,0507-1399-7208,,,,,,,,,,,,,
나이쏘이,엠스테이트,기타 동남아식 전문,서울특별시 송파구 법원로 114,02-2283-1282,,,,,,,,,,,,,
또바기돼지국밥감자탕,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,02-2283-1117,,,,,,,,,,,,,
라무진문정역점,엠스테이트,베트남식 전문,서울특별시 송파구 법원로 114,02-2283-1580,,,,,,,,,,,,,
라스트춘선문정,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,0503-7151-3689,,,,,,,,,,,,,
라화쿵부,엠스테이트,마라탕/훠궈,서울특별시 송파구 법원로 114,010-2455-5682,,,,,,,,,,,,,
마녀김밥문정점,엠스테이트,김밥/만두/분식,서울특별시 송파구 법원로 114,02-2283-1235,,,,,,,,,,,,,
문정한방삼계탕,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,02-2283-1138,,,,,,,,,,,,,
미식호랑이,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,02-2283-1709,,,,,,,,,,,,,
바차,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,010-7143-5048,,,,,,,,,,,,,
뱃살도둑,엠스테이트,그 외 기타 간이 음식점,서울특별시 송파구 법원로 114,070-7788-9990,,,,,,,,,,,,,
본설렁탕문정역점,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,02-2283-1077,,,,,,,,,,,,,
봄이보리밥,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,0507-1351-1544,,,,,,,,,,,,,
불독돈까스,엠스테이트,경양식,서울특별시 송파구 법원로 114,02-2283-1599,,,,,,,,,,,,,
불하당,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,02-2283-1556,,,,,,,,,,,,,
샐러디문정엠스테이트점,엠스테이트,경양식,서울특별시 송파구 법원로 114,02-6177-9210,,,,,,,,,,,,,
생마차문정,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,02-2283-1899,,,,,,,,,,,,,
서가마을,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,02-2283-1130,,,,,,,,,,,,,
서가참치&스시,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,02-2283-1180,,,,,,,,,,,,,
소공동순두부,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,02-2283-1323,,,,,,,,,,,,,
오한수우육면가,엠스테이트,중국집,서울특별시 송파구 법원로 114,02-2283-1181,,,,,,,,,,,,,
완산골명가문정,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,02-6177-9377,,,,,,,,,,,,,
우사기,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,0502-5552-0915,,,,,,,,,,,,,
이로이로,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,0502-5551-8737,,,,,,,,,,,,,
이북집찹쌀순대,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,02-2283-1600,,,,,,,,,,,,,
잇쇼니,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,02-2283-1239,,,,,,,,,,,,,
제주육돈가문정역점,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,070-7626-5252,,,,,,,,,,,,,
